"document_id","text","label_id"
"12","On her arrival in Haiti   Madeleine Short (Madge Bellamy) reunites with her fiancé Neil Parker (John Harron)   with imminent plans to be married. On the voyage   she met Charles Beaumont (Robert Frazer)   a wealthy planter who convinced her to have the marriage ceremony at his plantation house. Beaumont has fallen in love with Madelaine   and plans to get Neil out of the way by giving him a job in New York as his agent. On the way to Beaumont's house   the couple's carriage passes Murder Legendre (Bela Lugosi)   an evil voodoo master   leading a group of zombies. Legendre observes them with interest and manages to grab Madeleine's scarf. After arriving at the house   and meeting Dr. Bruner (Joseph Cawthorn)   who is to perform the ceremony   the couple is shown to their rooms   and Beaumont goes off in a cart driven by a zombie to meet Legendre at Legendre's sugarcane mill   operated entirely by zombies. Beaumont solicits Legendre's supernatural assistance in getting Madeleine to marry him. Legendre states that the only way is to transform Madeleine into a zombie with a potion. Beaumont protests that he will find another way   but Legendre insists that the potion is the only way   and makes him he take it with him. The next day   as Beaumont is leading Madeleine to the altar   he tries to convince her not to go through with the wedding   but she insists. He asks for one final kiss   and gives her a rose with the potion on it. She kisses the flower and puts it into her bouquet. Shortly after the ceremony   the potion takes effect   and Madeleine appears to die. Haunted by Madeleine's death   Neil takes to drink   and sees apparitions of her in every shadow. Legendre and Beaumont enter Madeleine's tomb at night with Legendre's zombie servants   who were all his enemies when they were alive. Hearing the raving Neil approach   they remove Madeleine's casket from the tomb. Finding it empty   Neil seeks assistance from Dr. Bruner   who explains to him about the possible existence of zombies. In Legendre's cliffside castle   Madeleine has been revived as a zombie   and Beaumont listens to her play the piano   her eyes lifeless. He gives her jewelry   but she does not respond. Beaumont now regrets having transformed her into a zombie. He begs Legendre to return her to life   but he refuses   and demonstrates his mental control over her by wordlessly sending her away. After drinking a glass of wine offered by Legendre   Beaumont realizes that it is tainted with the potion   and that he will be turned into a zombie. Legendre tells Beaumont that he has his own plans for Madeleine. Beaumont calls on his butler   Silver   to help him   but Legendre transfixes Silver with his eyes   and the zombie servants take him away to a terrible death. Neil and Bruner seek out an old witch doctor   Pierre (Dan Crimmins)   who tells them that all his people are afraid of the mountains   which they call The Land of the Living Dead   because of the evil man who lives there named Murder. Camping out not far from the foot of Legendre's castle   Neil and Bruner hear the terrible screeches of a vulture. Bruner heads out to the castle   but Neil is too ill to go with him   so Bruner goes alone. Shortly afterwards   Neil has another vision of Madeleine   and follows it to the castle   where Madeleine is attended by human maids who cannot bear to touch the zombie woman   even to brush her hair. Legendre and Beaumont are together in the main room. Because Beaumont is the first man to actually know that he is turning into a zombie   Legendre questions him about his symptoms   but Beaumont cannot speak. After Neil enters the castle   Legendre senses his presence and silently orders Madeleine to kill him   over Beaumont's feeble protest. She approaches the passed-out Neil with a knife   but she hesitates. Legendre increases his telepathic command   and Madeleine raises the knife to strike   but Bruner stops her. She runs away   and Neil wakes up and sees her   calling after her. He follows her to a high place above the Caribbean Sea   and entreats her to recognize him. Legendre watches them   and telepathically calls his zombie servants to kill Neil. Neil shoots at them   but they are uninjured   and keep coming towards him. Just then   Bruner approaches Legendre and knocks him out   breaking his mental control over his zombies. Undirected   they ignore Neil and walk off the cliff. The veil is lifted from Madeleine's eyes so that she recognizes Neil for a moment   but Legendre wakes up   re-establishing his control over the girl   and forces Neil and Bruner back with the strength of his will. However   Beaumont appears behind him   and pushes Legendre off the cliff into the churning waters below. Beaumont loses his balance and also falls to his death   followed by a screeching vulture. Legendre's death releases Madeleine from her trance   and she awakens to embrace Neil. Neil   she says   I dreamed.","3"
"13","Big-game hunter and wealthy zoologist Eric Gorman (Lionel Atwill) is an insanely jealous husband who uses his animal knowledge to dispose of his impulsive wife’s lovers. The film opens in an Indian jungle with Gorman using a needle and thread to sew a colleague’s mouth closed after having discovered that he had kissed his wife   and then he seals the man’s fate by abandoning him in the jungle with the wild beasts. Gorman later pretends to be surprised at hearing that the man had been eaten by tigers. Both Gorman and his wife Evelyn (Kathleen Burke) then return to America aboard a ship packed with captured animals he intends to add to his collection at a major zoo. On the ship   Evelyn starts to develop promiscuous relations with Roger Hewitt (John Lodge)   which she makes little effort to hide from her husband. Naturally   the murderously jealous Gorman takes notice. So once back in the States   he begins to plot a way to get rid of Hewitt. The zoo is beginning to run into financial trouble and the new press agent   Peter Yates (Charles Ruggles)   a man terrified of most of the zoo’s animals and considered to be an alcoholic   decides to host a fundraising dinner. Gorman takes this as a perfect opportunity to dispense his vengeance by poisoning Hewitt with mamba venom. He had obtained the poison after asking the zoo’s laboratory doctor   Jack Woodford (Randolph Scott)   to work on finding an antitoxin for the snake’s fatal bite. When Hewitt unexpectedly dies at the fundraising dinner   Evelyn accuses her husband of being the murderer. Outraged   Gorman attacks her   but she is able to escape into his office where she finds a mechanical mamba head seeping with real mamba poison in his desk. She now knows for a fact that he killed Hewitt and takes the snake head with the intention to find Dr. Woodford. However   Gorman finds her and prevents her from revealing his crime by throwing her to the alligators   where she is torn to shreds. The following day a group of children who sneak into the zoo discover tattered remains of Evelyn’s dress. Dr. Woodford then becomes suspicious and accuses Gorman of murdering both his wife and Rodger Hewitt. Gorman disposes of Dr. Woodford by attacking him with the mechanical snake head just as he had done to Hewitt. The doctor's assistant Jerry (Gail Patrick) gives Woodford a shot of the antitoxin he had created for the mamba poison in time to save his life. She also realizes that Gorman is responsible for the apparent mamba attack when he tries to stop her   and has the zoo's alarms set off. A police chase thus ensues as Gorman is pursued through the zoo. Gorman releases big cats from the carnivore house in the hopes of distracting the police   but it backfires and a lion chases Gorman into the cage of a boa constrictor   who then slowly kills and devours him. In the epilogue   Jerry visits a convalescing Dr. Woodford in the hospital. The stress   meanwhile   has caused Yates to fall off the wagon   and he is seen fearlessly meandering through the zoo   even swatting on the nose a still free lion that had been stalking him.",""
"14","Ivan Igor (Lionel Atwill) is a sculptor who operates a wax museum in 1921 London. He gives a private tour to a friend   Dr. Rasmussen (Holmes Herbert) and an investor   Mr. Galatalin (Claude King) showing them sculptures of Joan of Arc   Voltaire   and his favorite   Marie Antoinette. Formerly a stone sculptor who did wax modeling as a hobby   he explains he turned to wax sculpting completely because he felt more satisfied that he could reproduce the warmth   flesh   and blood of life far better in wax than in cold stone. Mr. Galatalin   impressed by his sculptures   offers to submit Igor's work to the Royal Academy after he returns from a trip to Egypt. Unfortunately business at the museum is failing due to people's attraction to the macabre (a nearby wax museum caters to that). Igor's partner Joe Worth (Edwin Maxwell) proposes to burn the museum down for the insurance money of £10  000. Igor will not allow such a travesty   but Worth starts a fire anyway. Igor tries to stop him and he and Worth get into a fight. As they fight   wax masterworks are melting in the flames. Worth knocks Igor unconscious   leaving the sculptor to die in the fire. Igor survives   however   and reemerges in 1933   12 years later   in New York City   reopening a new wax museum. His hands and legs have been badly crippled in the fire and he must rely on assistants to create his new sculptures. Meanwhile   spunky reporter Florence Dempsey (Glenda Farrell)   on the verge of being fired for not bringing in any worthwhile news   is sent out by her impatient editor   Jim (Frank McHugh)   to investigate the suicide of a model named Joan Gale (Monica Bannister). During this time   a hideous monster steals the body of Joan Gale from the morgue. When investigators find that her body has been stolen   they suspect murder. The finger initially points to George Winton (Gavin Gordon)   son of a powerful industrialist   but after visiting him in jail   Florence thinks differently. Florence's roommate is Charlotte Duncan (Fay Wray)   whose fiancé Ralph (Allen Vincent) works at Igor's new wax museum. While visiting the museum   Florence notices an uncanny resemblance between a wax figure of Joan of Arc and the dead model. At the same time   Igor spots Charlotte and remarks on her resemblance to his sculpture of Marie Antoinette. Igor employs a couple of shady characters: Professor Darcy (Arthur Edmund Carewe)   a drug addict   and Hugo (Matthew Betz)   a deaf-mute. Darcy also works for Joe Worth   now a bootlegger in the city   among whose customers is none other than Winton. While investigating an old house where Worth keeps his bootlegged alcohol   Florence discovers a monster connected with the museum   but cannot prove any connection with the disappearance of Joan Gale's body. Darcy is seen running from the house and is caught by the police. When brought to the station   he eventually breaks down and admits that Igor is in fact the killer and that he has been murdering people (including a missing judge whose watch was found on Darcy's person)   stealing their bodies   and dipping them in wax to create lifelike sculptures. Charlotte   visiting Ralph at the museum   is trapped there by Igor   who it is revealed can still walk. When Charlotte tries to get away   she pounds away at his face   breaking a wax mask that he has made of himself   to reveal that he had been horribly disfigured. He also shows her the dead body of Joe Worth   whom Darcy had been tracking down for him for some time. When she faints   he straps her onto a table   intending to douse her with molten wax and make her his lost Marie Antoinette sculpture. Florence leads the police to the museum just in time: for a man supposedly crippled by fire   Igor moves with surprising speed and agility   successfully fighting off the police   but is finally gunned down. He falls into a giant vat of wax which was intended for Charlotte. Charlotte is saved when Ralph moves away the table she is strapped to from where the wax is about to pour onto her. When Florence reports her story to her editor   Jim   he proposes to her. Having to choose between money (Winton) and happiness (Jim)   she picks the latter.",""
"15","Police have been vainly searching the countryside for the knife-wielding Maniac   who has been on a murderous spree. The Maniac's victims are each found with a taunting newspaper clipping attached to their body. After the wealthy uncle of a young scientist is mysteriously murdered   people wonder if the Maniac is responsible. Prior to his uncle's death   the young scientist in question   Dr. Arthur Hornsby   claimed to have developed a method of living without oxygen for extended periods. To prove his theory   he had himself buried after taking a dose of the serum. Despite his incapacity   the death of his uncle leaves a vast fortune   which is to be divided amongst his family members and servants. In the event that one or more them dies   the inheritance is split among the remaining survivors. Subsequently   members of the family begin to die   one-by-one   and suspicion is cast on the servants   including the mystic butler (Bela Lugosi). At the end   we discover that Dr. Hornsby faked his burial and was using it as a cover for committing the murders. His plan was to kill any other heirs to his uncle's fortune so that he may obtain sole possession. His plan is eventually discovered and exposed by the butler. The Maniac is shot   and apparently killed   by the newspaper reporter   Tom Hartley; but in the closing moments of the film   he comes back to life and claims that he will haunt the audience if they reveal the plot twist to anyone.",""
"16","Roma Courtenay (Carole Lombard) is approached by phony psychic Paul Bavian (Alan Dinehart) who claims to have a message from Courtenay's recently deceased brother. After attending a staged seance   Roma suddenly becomes possessed by the malevolent spirit of the executed murderess Ruth Rogen (Vivienne Osborne)   who has unfinished business   including killing Bavian   her one-time lover. Fearing that Roma is actually under the charlatan's control   her fiancé (Randolph Scott) tries to rescue her. H.B. Warner plays a scientist who is a friend of the Courtenay family. At the film's beginning he visits the warden of the penitentiary where Rogen is incarcerated. He tells the warden that violent crime always increases following the execution of a murderer   and he believes this is because some kind of malevolent spiritual influence is released after the killer dies. The warden agrees to give him Rogen's body after the execution so that he can attempt to contain the evil force. Roma becomes possessed by Ruth Rogen's spirit when she walks into the scientist's laboratory while he is experimenting with her body. Just as she enters the room the corpse receives a jolt of electricity and the eyes flick open and make contact with Roma.","3"
"17","Don Maxwell is a former vaudeville impersonator who is working as the lab assistant to Dr. Meirschultz   a mad scientist attempting to bring the dead back to life. When Don kills Meirschultz   he attempts to hide his crime by becoming the doctor   taking over his work and copying his appearance and manner. In the process   he slowly goes insane. The doctor treats a mental patient   Buckley   but accidentally injects him with adrenaline   which causes him to go into violent fits. In one of these fits   Buckley kidnaps a woman   tears her clothes off   and rapes her. Buckley's wife discovers the body of the real doctor   and blackmails Don into turning her husband into a zombie. The ersatz doctor turns the tables on her by manipulating her into fighting with his estranged wife   Alice Maxwell   a former showgirl. When the cat-breeding neighbor Goof sees what's going on   he calls the police   who stop the fight and   following the sound of Satan the cat   find the body of the real doctor hidden behind a brick wall.[2][3][4]",""
"18","Dr. Andre Crespi (von Stroheim) hates Dr. Stephen Ross (Bohn)   who married Crespi's girlfriend   Estelle (Harriet Russell). During surgery   Ross appears to die. Crespi has given Ross a drug that induces a state of apparent death   while Ross retains all of his senses. Dr. John Arnold (Guilfoyle) is then asked to exhume Ross by the suspicious Dr. Thomas (Frye). They exhume the body and return to the hospital to prove he was poisoned. Ross awakens from the drug while on the autopsy table. Frye received his highest billing in any of his films for this feature   and performs one of his few non-maniacal roles. He had a more distinguished reputation for his stage work   including Broadway.",""
"19","Dracula's Daughter begins a few moments after Dracula ends. Count Dracula has just been destroyed by Professor Von Helsing (Edward Van Sloan). Von Helsing is taken by police to Scotland Yard   where he explains that he indeed did destroy Count Dracula   but because he had already been dead for over 500 years   it cannot be considered murder. Instead of hiring a lawyer   he enlists the aid of a psychiatrist   Dr. Jeffrey Garth (Otto Kruger)   who was once one of his star students. Meanwhile   Dracula's daughter   Countess Marya Zaleska (Gloria Holden)   with the aid of her manservant   Sandor (Irving Pichel)   steals Dracula’s body from Scotland Yard and ritualistically burns it   hoping to break her curse of vampirism. However   Sandor soon begins to discourage her telling her that all that is in her eyes is death. She soon gives into her thirst for blood. The Countess resumes her hunting   mesmerizing her victims with her exotic jeweled ring. After a chance meeting with Dr. Garth at a society party   the Countess asks him to help her overcome the influence she feels from beyond the grave. The doctor advises her to defeat her cravings by confronting them and the Countess becomes hopeful that her will   plus Dr. Garth's science   will be strong enough to overcome Dracula's malevolence. The Countess sends Sandor to fetch her a model to paint; he returns with Lili (Nan Grey). Countess Zaleska initially resists her urges but succumbs and attacks her. Lili survives the attack and is examined by Dr. Garth through hypnosis; she reveals enough information to let Dr. Garth know that it was Countess Zaleska that attacked her   but suffers heart failure and dies. The Countess gives up fighting her urges and accepts that a cure is not possible; she lures Dr. Garth to Transylvania by kidnapping Janet (Marguerite Churchill)   his secretary   whom he has a playfully antagonistic relationship with   but now realizes that he cares for her. Zaleska intends to transform Dr. Garth into a vampire to be her eternal companion. Arriving at Castle Dracula in Transylvania   Dr. Garth agrees to exchange his life for Janet's. Before he can be transformed   Countess Zaleska is destroyed when Sandor shoots her through the heart with an arrow as revenge for her breaking her promise to make him immortal. He takes aim at Dr. Garth but is shot dead by a Scotland Yard policeman who   along with Von Helsing   have followed Dr. Garth from London.","3"
"20","Baron Wolf von Frankenstein (Basil Rathbone)   son of Henry Frankenstein   relocates his wife Elsa (Josephine Hutchinson) and their young son Peter (Donnie Dunagan) to the family castle. Wolf wants to redeem his father's reputation   but finds that such a feat will be harder than he thought after he encounters hostility from the villagers   who resent him for the destruction his father's monster wreaked years before. Aside from his family   Wolf's only friend is the local policeman Inspector Krogh (Lionel Atwill) who bears an artificial arm   his real arm having been ripped out by the roots in an encounter with the Monster as a child. While investigating his father's castle   Wolf meets Ygor (Bela Lugosi)   a demented blacksmith who has survived a hanging for graverobbing and has a deformed neck as a result. Wolf finds the Monster's comatose body in the crypt where his grandfather and father were buried; his father's sarcophagus bears the phrase Henrich von Frankenstein: Maker of Monsters written in chalk. He decides to revive the Monster to prove his father was right   and to restore honor to his family. Wolf uses the torch to scratch out the word Monsters on the casket and write Men beside it. When the Monster (Boris Karloff) is revived   it only responds to Ygor's commands and commits a series of murders; the victims were all jurors at Ygor's trial. Wolf discovers this and confronts Ygor. Wolf shoots Ygor and apparently kills him. The Monster abducts Wolf's son as revenge   but cannot bring himself to kill the child. Krogh and Wolf pursue the Monster to the nearby laboratory   where a struggle ensues   during which the Monster tears out Krogh's false arm. Wolf swings on a rope and knocks the Monster into a molten sulphur pit under the laboratory   saving his son. Wolf leaves the keys to Frankenstein's Castle to the villagers. The film ends with the village turning out to cheer the Frankenstein family as they leave by train.",""
"21","Dr. Bernard Adrian is a kindly scientist who seeks to cure a young woman's polio. All he needs is spinal fluid from a human to complete the formula for his experimental serum. Meanwhile   a vicious circus ape has broken out of its cage and is terrorizing the townspeople. The Ape eventually breaks into Dr. Adrian's lab. The Doctor manages to kill it before any harm can come to himself. However   the spinal fluids he requires to perform his experiments have all been destroyed during the struggle between him and the Ape. Doctor Adrian then concocts an idea: he will tear off the ape's flesh and use its skin to disguise himself as the escaped circus animal and murder townspeople in order to extract their spinal fluid. Thus the murders will be blamed on the Ape and he   himself   will manage to avoid any suspicion. However   one of his attacks towards the film's ending is unsuccessful; he is fatally knifed and the Ape's true identity is revealed.",""
"22","The film begins with the Egyptian Andoheb (George Zucco) traveling to the Hill of the Seven Jackals in answer to the royal summons of the High Priest of Karnak (Eduardo Ciannelli). The dying priest of the sect explains the story of Kharis (Tom Tyler) to his follower. The tale closely parallels that of the original film   except that Kharis steals the sacred tana leaves in the hope of restoring life to the dead Princess Ananka. His penalty upon being discovered is to be buried alive   without a tongue   and the tana leaves are buried with him. The leaves are the secret to Kharis' continued existence. During the cycle of the full moon   the fluid from the brew of three tana leaves is to be administered to the creature to keep him alive. Should despoilers enter the tomb of the Princess   a fluid of nine leaves will restore movement to the monster. Meanwhile   down on his luck archaeologist Steve Banning (Dick Foran) and his sidekick   Babe Jenson (Wallace Ford)   discover the remnants of a broken vase in a Cairo bazaar. Banning is convinced it is an authentic ancient Egyptian relic   and his interpretation of the hieroglyphics on the piece lead him to believe it contains clues to the location of the Princess Ananka's tomb. With the support of the eminent Dr. Petrie (Charles Trowbridge) of the Cairo Museum   but against the wishes of Andoheb   who is also employed by the museum   Banning seeks funds for his expedition. Banning and Jenson meet an American magician   Solvani (Cecil Kellaway)   who agrees to fund their quest. His daughter Marta (Peggy Moran) is not so easily swayed   thanks to a prior visit from Andoheb   who brands the two young archeologists as frauds. The expedition departs in search of the Hill of the Seven Jackals   with the Solvanis tagging along. In their explorations   they stumble upon the tomb of Kharis   finding the mummy along with the tana leaves   but find nothing to indicate the existence of Ananka's tomb. Andoheb appears to Dr. Petrie in the mummy's cave and has the surprised scientist feel the creature's pulse. After administering the tana brew from nine leaves   the monster quickly dispatches Petrie and escapes with Andoheb   through a secret passageway   to the temple on the other side of the mountain. The creature continues his periodic marauding about the camp   killing an Egyptian overseer and eventually attacking Solvani and kidnapping Marta. Banning and Jenson set out to track Kharis down   with Jenson going around the mountain and Banning attempting to follow the secret passage they have discovered inside the tomb. Andoheb has plans of his own. Enthralled by Marta's beauty   he plans to inject himself and his captive with tana fluid   making them both immortal. Jenson arrives in the nick of time   and guns down Andoheb outside of the temple   while Banning attempts to rescue the girl. However   Kharis appears on the scene and Banning's bullets have no effect on the immortal being. Marta overheard Adoheb tell the secret of the tana fluid and tells Banning and Jenson that Kharis must not be allowed to drink any more of the serum. When the creature raises the tana serum to his lips   Jenson shoots the container from his grasp. Dropping to the floor   Kharis attempts to ingest the spilled life-giving liquid. Banning seizes the opportunity to overturn a brazier onto the monster   engulfing it in flames. The ending has the members of the expedition heading happily back to the United States with the mummy of Ananka   and the spoils of her tomb.","3"
"23","Dr. Julian Blair is engaged in unconventional research on human brain waves when his wife Helen (Shirley Warde) is tragically killed in a freak auto accident. The grief-stricken scientist becomes obsessed with redirecting his work into making contact with the dead and is not deterred by dire warnings from his daughter Anne (Amanda Duff)   his research assistant Richard (Richard Fiske)   or his colleagues that he is delving into forbidden areas of knowledge. He moves his laboratory to an isolated New England mansion where he continues to try to reach out to his dead wife. He is aided by his mentally-challenged servant Karl (Ralph Penney) and abetted by the obsessive Mrs. Walters (Anne Revere)   a phony medium   who seems to exert a sinister influence over him. When their overly curious housekeeper discovers the truth about their experiments   her death brings the local sheriff in to investigate.",""
"24","Dr. Harry Jekyll (Spencer Tracy) believes good and evil exist in everyone. Experiments reveal his evil side   named Mr. Hyde. Experience teaches him how evil Hyde can be: he rapes Ivy Pearson (Ingrid Bergman)   who earlier expressed interest in Jekyll. Meanwhile   Jekyll is preparing to marry Beatrix Emery (Lana Turner). Over the course of the film   Hyde abuses Ivy. Feeling remorse over the treatment inflicted on Ivy   Jekyll vows to never take the serum again   destroys the key to his lab   and sends money to Ivy anonymously. Ivy believes the money was sent by Hyde in order to trick her into believing she is now free. On the advice of a friend over her rattled nerves   she goes to Jekyll for comfort. Jekyll promises that Hyde will never hurt her again. On the way to Emery's house for the announcement of his marriage to Beatrix   Jekyll transforms into Hyde without taking the serum. He goes over to Ivy's house   accuses her of meeting with Jekyll   and starts to strangle her. He escapes back to his lab   but discovers that he no longer has the key to the lab. He fails to break into the front door of his place and goes to Dr. Lanyon (Ian Hunter)   a personal friend   for help. Lanyon is shocked to find out that both Jekyll and Hyde are the same person as Hyde drinks the antidote in his friend's presence. Jekyll decides to break off the engagement to Bea in order to keep his secret. She refuses to accept   her reaction triggering Jekyll to become Hyde and frighten Bea. Her father (Donald Crisp) responds to her scream   only to be beaten to death by Hyde. Lanyon finds a piece of Jekyll's cane   and realizes he is responsible. He leads police to search Hyde's laboratory   only to find Jekyll (having strong-armed past his butler Poole (Peter Godfrey) to get to an antidote). During questioning he starts to transform into Hyde. In the ensuing struggle Lanyon mortally shoots Hyde   who reverts to Jekyll as he dies.","3"
"25","Charles Kessler (Bela Lugosi) is plagued by homicidal urges. His wife (Betty Compson)   who had left him for another man   gets into a car accident that leaves her brain damaged and is kept in a cellar in secret   by Kessler's gardener. When an innocent man is executed for a murder Kessler committed in the house   his twin brother visits and tries to unravel the mystery. He discovers that Kessler is the killer and doesn't know it. His brother subdues him and contacts the police   who arrest Kessler.",""
"26","A tragic accident occurs when a bus hits a high power line. The incident has claimed the lives of all on board   except for one Dan McCormick (Lon Chaney   Jr.)   who survives because he is   surprisingly   immune to the deadly electricity. McCormick does a sideshow exhibit as Dynamo Dan   the Electric Man and is taken in by Dr. John Lawrence (Samuel S. Hinds)   who wants to study him. Dr. Lawrence's colleague   mad scientist Dr. Paul Rigas (Lionel Atwill) has something else in mind   though. He wants to create an army of electrobiologically-driven zombies. He gives McCormick progressively higher doses of electricity until his mind is ruined and left dependent on the addicting electrical charges. This temporarily gives McCormick the touch of death   making him capable of killing anyone he touches by electrocution. After accidentally killing Lawrence   Rigas insures McCormick's conviction to see what will happen if he is sent to the electric chair. McCormick survives   and with a super charge in his glowing body he kills several people   including Rigas   before running out of electricity and dying.[2]",""
"27","A gangster named Scot Webster (Philip Terry) attempts to save his sister   Susan (Ellen Drew) from the clutches of rival gangster W. S. Bruhl (Paul Lukas). When one of Bruhl's gang members catches Scot in Bruhl's rented room   one of Scot's aides is killed by a gunman. The man tosses him the gun and disappears. Scot is tried and executed. A scientist (George Zucco) salvages his brain and transplants it into a gorilla. Using the strength of his new   bestial body   Webster begins stalking the gangsters to exact his revenge.",""
"28","Sometime in the early twentieth century   after learning of the death of his brother   Larry Talbot (Lon Chaney Jr.) returns to his ancestral home in Llanwelly   Wales to reconcile with his estranged father   Sir John Talbot (Claude Rains). While there   Larry becomes romantically interested in a local girl named Gwen Conliffe (Evelyn Ankers)   who runs an antique shop. As a pretext to converse with her   he purchases a silver-headed walking stick decorated with a wolf. Gwen tells him that it represents a werewolf (which she defines as a man who changes into a wolf at certain times of the year.) Throughout the film   various villagers recite a poem   whenever the subject of werewolves comes up: That night   Larry attempts to rescue Gwen's friend Jenny from what he believes to be a sudden wolf attack. He kills the beast with his new walking stick   but is bitten on the chest in the process. A gypsy fortuneteller named Maleva (Maria Ouspenskaya) reveals to Larry that the animal which bit him was actually her son Bela (Bela Lugosi) in the form of a wolf. She also reveals that Larry will transform into a wolf as well since he who is bitten by a werewolf and lives will turn into one himself. Talbot transforms into a wolf-like creature and stalks the village   first killing the local gravedigger. Talbot retains vague memories of being a werewolf and wanting to kill   and continually struggles to overcome his condition. He is finally bludgeoned to death by his father with his own silver walking stick after attacking Gwen. Sir John Talbot watches in horror as the dead werewolf transforms into his son's human form. Gwen notices as well and cries for her friend's condition as the local police arrive on the scene.","3"
"29","Lugosi plays a psychology professor by day who   secretly and under an assumed name   runs a Bowery soup kitchen by night called the Bowery Friendly Mission. Lugosi's character uses his soup kitchen as a means to recruit members of a criminal gang   of which he is also secretly the head. Throughout the film   one of Lugosi's henchmen   a doctor who seems to be an alcoholic drug addict   alludes to having plans for the corpses of henchmen Lugosi has had killed. Then   at the end of the film   these corpses are revealed to have been restored to life by the doctor. Lugosi's character meets his demise when the doctor leads the unwitting Lugosi into a basement room where the reanimated corpses attack him. Towards the end of the film   the male lead   played by John Archer   appears to be killed and mysteriously reanimated   in which state his girlfriend sees him. Then   in the film's final scene   he appears restored to his former health   and not like a zombie at all   and is about to (or already has) marry his girlfriend. In one scene   with two policemen talking outside a cinema   a movie poster outside the cinema entrance behind them advertises Bela Lugosi in The Corpse Vanishes   another Lugosi horror film also released in 1942.",""
